Estado,Abreviatura,Regiones,Mujeres,Hombres,No_esp
 Aguascalientes,AG,Noreste,9,73,0
 Baja California,BC,Noroeste,272,2603,37
 Baja California Sur,BS,Noroeste,31,169,0
 Campeche,CM,Sureste,14,65,0
 Coahuila de Zaragoza,CO,Noreste,30,214,0
 Colima,CL,Occidente,85,660,2
 Chiapas,CS,Sureste,52,610,0
 Chihuahua,CH,Noroeste,279,2695,4
 CDMX,CX,Centro-Sur,138,1331,0
 Durango,DG,Noroeste,21,157,0
 Guanajuato,GT,Noreste,362,3152,3
 Guerrero,GR,Centro-Sur,238,2121,8
 Hidalgo,HG,Occidente,54,285,1
 Jalisco,JC,Noroeste,284,2617,27
 Mexico,EM,Occidente,458,2707,5
 Michoacan,MI,Occidente,184,1887,5
 Morelos,MO,Centro-Sur,84,735,4
 Nayarit,NA,Noroeste,39,354,4
 Nuevo Leon,NL,Noreste,92,758,0
 Oaxaca,OA,Sureste,132,996,0
 Puebla,PU,Centro-Sur,137,1109,3
 Queretaro,QT,Noreste,29,200,0
 Quintana Roo,QR,Sureste,92,748,1
 San Luis Potosi,SL,Noreste,60,502,1
 Sinaloa,SI,Noroeste,52,1159,3
 Sonora,SO,Noroeste,63,869,4
 Tabasco,TB,Sureste,48,519,2
 Tamaulipas,TM,Noreste,132,1270,35
 Tlaxcala,TL,Centro-Sur,22,130,0
 Veracruz,VE,Sureste,145,1365,6
 Yucatan,YU,Sureste,10,49,0
 Zacatecas,ZA,Noreste,104,656,13
