Estado,Abreviatura,Regiones,Mujeres,Hombres,No_esp
 Aguascalientes,AG,Noreste,14,90,1
 Baja California,BC,Noroeste,289,2225,51
 Baja California Sur,BS,Noroeste,7,41,0
 Campeche,CM,Sureste,15,89,0
 Coahuila de Zaragoza,CO,Noreste,16,100,0
 Colima,CL,Occidente,128,720,1
 Chiapas,CS,Sureste,64,557,6
 Chihuahua,CH,Noroeste,262,1894,0
 CDMX,CX,Centro-Sur,90,654,0
 Durango,DG,Noroeste,15,80,0
 Guanajuato,GT,Noreste,555,3295,9
 Guerrero,GR,Centro-Sur,158,1563,4
 Hidalgo,HG,Occidente,51,332,10
 Jalisco,JC,Noroeste,176,1566,10
 Mexico,EM,Occidente,409,2497,24
 Michoacan,MI,Occidente,183,1659,9
 Morelos,MO,Centro-Sur,157,1394,0
 Nayarit,NA,Noroeste,18,127,2
 Nuevo Leon,NL,Noreste,164,1238,1
 Oaxaca,OA,Sureste,95,736,0
 Puebla,PU,Centro-Sur,106,882,4
 Queretaro,QT,Noreste,31,196,0
 Quintana Roo,QR,Sureste,67,635,0
 San Luis Potosi,SL,Noreste,55,494,5
 Sinaloa,SI,Noroeste,47,588,14
 Sonora,SO,Noroeste,149,1308,26
 Tabasco,TB,Sureste,29,243,1
 Tamaulipas,TM,Noreste,56,476,28
 Tlaxcala,TL,Centro-Sur,17,122,0
 Veracruz,VE,Sureste,89,698,2
 Yucatan,YU,Sureste,13,39,0
 Zacatecas,ZA,Noreste,121,954,9
