Estado,Abreviatura,Regiones,Mujeres,Hombres,No_esp
 Aguascalientes,AG,Noreste,11,108,1
 Baja California,BC,Noroeste,264,2469,90
 Baja California Sur,BS,Noroeste,16,87,1
 Campeche,CM,Sureste,10,73,0
 Coahuila de Zaragoza,CO,Noreste,52,254,0
 Colima,CL,Occidente,103,726,1
 Chiapas,CS,Sureste,71,548,0
 Chihuahua,CH,Noroeste,308,2625,3
 CDMX,CX,Centro-Sur,144,1157,0
 Durango,DG,Noroeste,23,152,0
 Guanajuato,GT,Noreste,412,3586,21
 Guerrero,GR,Centro-Sur,195,1738,4
 Hidalgo,HG,Occidente,65,410,4
 Jalisco,JC,Noroeste,263,2260,2
 Mexico,EM,Occidente,472,2767,3
 Michoacan,MI,Occidente,199,2259,4
 Morelos,MO,Centro-Sur,102,955,2
 Nayarit,NA,Noroeste,24,193,1
 Nuevo Leon,NL,Noreste,98,889,0
 Oaxaca,OA,Sureste,140,1024,0
 Puebla,PU,Centro-Sur,123,1150,1
 Queretaro,QT,Noreste,28,196,0
 Quintana Roo,QR,Sureste,74,676,0
 San Luis Potosi,SL,Noreste,49,467,6
 Sinaloa,SI,Noroeste,58,1071,4
 Sonora,SO,Noroeste,115,1203,66
 Tabasco,TB,Sureste,80,611,0
 Tamaulipas,TM,Noreste,115,752,16
 Tlaxcala,TL,Centro-Sur,26,163,0
 Veracruz,VE,Sureste,170,1321,2
 Yucatan,YU,Sureste,4,42,0
 Zacatecas,ZA,Noreste,79,598,6
