fecha,RH,TMP,WDR,WSP
2016-01-01,64.46376811594203,15.516485507246378,175.3913043478261,1.8460144927536235
2016-01-02,64.4375,15.697348484848485,154.42992424242425,1.787121212121212
2016-01-03,63.85144927536232,15.859057971014492,184.7246376811594,1.7632246376811591
2016-01-04,77.46167883211679,12.532,190.57350272232304,1.7671506352087114
2016-01-05,64.11111111111111,13.659744990892532,194.4782608695652,1.958695652173913
2016-01-06,52.42727272727273,13.826449275362318,192.2391304347826,2.4717391304347824
2016-01-07,48.77132486388385,13.227404718693284,190.66243194192376,2.721597096188748
2016-01-08,44.45355191256831,13.537956204379562,196.9489981785064,2.6797814207650275
2016-01-09,39.011650485436896,13.392397660818714,187.83495145631068,2.3219417475728155
2016-01-10,44.40761904761905,14.13371212121212,188.8219696969697,2.125
2016-01-11,42.265420560747664,13.524907063197023,183.8029739776952,2.596654275092937
2016-01-12,49.26481481481481,12.053888888888888,171.94535519125682,1.621857923497268
2016-01-13,76.00379506641366,10.037381404174573,178.80072463768116,2.051992753623189
2016-01-14,66.89962121212122,12.93996212121212,182.5265151515152,3.116098484848485
2016-01-15,43.403284671532845,13.73667883211679,195.41016333938293,2.192377495462795
2016-01-16,33.24500907441016,12.634782608695652,210.7608695652174,1.6257246376811594
2016-01-17,31.35412844036697,13.066123188405795,162.1503623188406,2.034782608695652
2016-01-18,46.528985507246375,12.478623188405797,189.26992753623188,2.0684782608695653
2016-01-19,60.958333333333336,11.466666666666669,169.03079710144928,1.3905797101449275
2016-01-20,48.763888888888886,12.858506944444445,181.43297101449275,1.4568840579710145
2016-01-21,40.92334494773519,13.389198606271776,191.6109090909091,1.5763636363636364
2016-01-22,44.68983050847458,12.604745762711865,204.40740740740745,1.8837742504409167
2016-01-23,35.2,11.864166666666666,186.98090277777777,1.6859375
2016-01-24,41.70819112627986,11.870719178082192,159.19217081850533,1.4873665480427047
2016-01-25,43.60801393728223,13.78062827225131,176.64545454545456,1.709818181818182
2016-01-26,41.37123745819398,14.63628762541806,203.79478260869564,2.6255652173913044
2016-01-27,37.8578856152513,13.27417677642981,186.9627659574468,3.1590425531914894
2016-01-28,51.72743055555556,8.211979166666667,184.9522935779817,2.234678899082569
2016-01-29,48.69814814814815,10.203333333333331,171.16216216216216,1.2447876447876447
2016-01-30,35.93402777777778,13.792881944444444,180.59420289855072,1.6278985507246375
2016-01-31,45.70659722222222,15.8390625,181.6757246376812,1.608876811594203
2016-02-01,39.495,15.8715,175.96006944444446,1.9741319444444445
2016-02-02,34.15529010238908,17.48617747440273,194.44833625218916,2.2527145359019265
2016-02-03,38.177280550774526,17.11462994836489,178.06502636203865,1.9268892794376096
2016-02-04,53.06040268456376,13.38036912751678,189.5121951219512,2.256271777003484
