Estado,Abreviatura,Regiones,Mujeres,Hombres,No_esp
 Aguascalientes,AG,Noreste,13,90,0
 Baja California,BC,Noroeste,349,2754,145
 Baja California Sur,BS,Noroeste,11,65,1
 Campeche,CM,Sureste,14,93,0
 Coahuila de Zaragoza,CO,Noreste,26,145,0
 Colima,CL,Occidente,66,539,2
 Chiapas,CS,Sureste,66,498,4
 Chihuahua,CH,Noroeste,335,2396,8
 CDMX,CX,Centro-Sur,127,948,1
 Durango,DG,Noroeste,9,133,1
 Guanajuato,GT,Noreste,571,3697,65
 Guerrero,GR,Centro-Sur,153,1302,13
 Hidalgo,HG,Occidente,44,243,0
 Jalisco,JC,Noroeste,256,2011,7
 Mexico,EM,Occidente,438,2653,28
 Michoacan,MI,Occidente,276,2417,3
 Morelos,MO,Centro-Sur,101,1098,0
 Nayarit,NA,Noroeste,31,186,5
 Nuevo Leon,NL,Noreste,103,967,0
 Oaxaca,OA,Sureste,91,695,0
 Puebla,PU,Centro-Sur,113,731,3
 Queretaro,QT,Noreste,27,204,0
 Quintana Roo,QR,Sureste,76,601,0
 San Luis Potosi,SL,Noreste,84,704,9
 Sinaloa,SI,Noroeste,36,598,1
 Sonora,SO,Noroeste,157,1856,76
 Tabasco,TB,Sureste,46,407,0
 Tamaulipas,TM,Noreste,63,633,43
 Tlaxcala,TL,Centro-Sur,29,131,0
 Veracruz,VE,Sureste,112,835,1
 Yucatan,YU,Sureste,8,47,0
 Zacatecas,ZA,Noreste,171,1586,19
