fecha,CO,NO,NO2,NOX,O3,PM10,PM25,SO2
2018-01-01,0.3755474452554744,4.7370517928286855,18.324701195219124,23.061752988047807,27.958204334365327,62.95923261390888,45.86834733893557,15.185185185185183
2018-01-02,0.5047101449275362,20.601609657947687,26.613682092555333,47.23138832997988,24.57716049382716,53.45388349514563,26.27605633802817,3.7897271268057775
2018-01-03,0.5417422867513612,25.498,32.414,57.91,28.81366459627329,68.65721040189125,35.581460674157306,10.948303715670436
2018-01-04,0.5786219081272085,25.07692307692308,37.63562753036437,62.68218623481781,29.65203761755486,76.46844660194175,44.04437869822485,18.92295081967213
2018-01-05,0.5362038664323374,18.606694560669457,34.61715481171548,53.23012552301255,33.110743801652895,72.85851318944844,42.29022988505747,5.632727272727273
2018-01-06,0.4476578411405295,21.455607476635517,29.15654205607477,50.66355140186916,30.707581227436823,58.44285714285714,31.11204481792717,6.7370517928286855
2018-01-07,0.5365942028985508,15.489065606361828,31.757455268389663,47.22465208747515,34.273148148148145,57.46080760095012,27.81111111111111,5.845
2018-01-08,0.6622950819672131,31.776447105788424,33.96806387225549,65.71656686626747,26.40453074433657,69.18837209302326,29.68168168168168,4.348484848484849
2018-01-09,0.6756855575868373,35.09090909090909,38.35353535353536,73.50909090909092,22.823825503355703,62.76108374384236,30.054597701149422,9.737623762376238
2018-01-10,0.900907441016334,45.31881188118812,46.54257425742574,91.85940594059406,32.435483870967744,92.43799472295514,41.84142394822006,8.7140549273021
2018-01-11,0.8054744525547445,34.65151515151515,44.41856060606061,79.10227272727273,33.13680781758958,84.49748743718592,43.2275641025641,4.686728395061729
2018-01-12,0.5063524590163935,17.839248434237994,33.292275574112736,51.12108559498956,31.30223880597015,56.687179487179485,27.440119760479043,6.554973821989528
2018-01-13,0.5088695652173914,33.32667876588022,31.32486388384755,64.68058076225046,22.616692426584237,66.92417061611374,27.04204204204204,12.836065573770492
2018-01-14,0.3074652777777777,9.749546279491833,25.25771324863884,34.96188747731397,22.822115384615383,43.5352798053528,25.113846153846158,15.382440476190476
2018-01-15,0.632280701754386,32.35897435897436,38.92673992673993,71.25091575091575,22.412337662337663,63.22931442080378,30.32826747720365,20.78078078078078
2018-01-16,0.6462608695652174,37.89855072463768,35.89855072463768,73.83333333333333,24.807692307692307,80.85458612975391,32.9747191011236,10.321428571428571
2018-01-17,0.5198290598290598,27.353463587921848,33.683836589698046,61.06216696269982,26.789473684210527,61.23504273504273,25.69028871391076,3.848714069591528
2018-01-18,0.5362525458248473,24.3130081300813,37.28658536585366,61.5609756097561,35.07524752475248,70.69133192389006,34.47244094488189,10.019064124783364
2018-01-19,0.6883561643835616,32.124361158432706,41.686541737649065,73.80238500851789,31.853781512605043,73.35903083700441,34.67828418230563,3.3891336270190897
2018-01-20,0.5909090909090909,33.68695652173913,32.73391304347826,66.44695652173912,26.370235934664247,56.61557177615572,26.428152492668623,2.4769001490312967
2018-01-21,0.5125,21.094373865698728,25.729582577132486,46.78221415607985,25.931818181818183,44.8391959798995,20.89908256880734,2.746913580246914
2018-01-22,0.5828153564899452,31.803030303030305,29.785984848484848,61.59659090909091,26.99810246679317,59.20716112531969,23.503125,6.507886435331231
2018-01-23,0.4413547237076649,17.878048780487806,30.86382113821138,48.733739837398375,29.95511669658887,70.15700483091787,36.62146892655368,15.267796610169492
2018-01-24,0.5174950298210735,22.741525423728813,27.26906779661017,50.02966101694916,22.4950884086444,51.23529411764706,28.708196721311477,3.616755793226381
2018-01-25,0.3670774647887324,10.615238095238094,24.544761904761906,35.135238095238094,20.611205432937183,34.808306709265175,19.31958762886598,3.09190031152648
2018-01-26,0.5421848739495798,25.847635726795097,28.619964973730298,54.47110332749562,23.881685575364667,55.10626702997275,31.52186588921283,4.31184407796102
2018-01-27,0.4820224719101124,20.53589315525877,27.893155258764608,48.42904841402337,27.21362229102167,42.484693877551024,27.48459383753501,3.955395683453237
2018-01-28,0.2284109149277688,5.257956448911223,15.966499162479062,21.224455611390283,14.802568218298555,22.33423913043478,13.638483965014576,5.474747474747475
2018-01-29,0.217206132879046,4.987804878048781,14.832752613240418,19.804878048780488,19.94561403508772,18.874524714828897,6.533039647577093,0.9317147192716236
2018-01-30,0.3458874458874459,11.353783231083844,27.60531697341513,38.93047034764826,24.779661016949152,36.70845481049562,15.647798742138365,6.952548330404218
2018-01-31,0.5897345132743362,30.797909407665504,32.05749128919861,62.88327526132405,12.97704918032787,49.54054054054054,22.029411764705884,9.93815987933635
2018-02-01,0.7410394265232975,50.02162162162162,31.554954954954955,81.5945945945946,21.4694589877836,53.46599496221663,21.211180124223603,2.8914373088685017
2018-02-02,0.4551663747810858,29.16987740805604,25.38879159369527,54.58318739054291,26.043624161073826,52.14420803782506,19.25382262996942,4.341772151898734
2018-02-03,0.4570434782608695,17.650434782608695,30.191304347826087,47.85913043478261,28.91318864774624,61.49882903981265,35.40181268882175,7.502407704654896
2018-02-04,0.4968692449355433,16.13932980599647,27.566137566137566,43.71781305114639,37.72555746140652,51.332552693208434,27.187878787878788,4.252032520325203
2018-02-05,0.3193058568329718,9.514910536779324,21.66600397614314,31.178926441351887,41.86821705426357,41.58468677494199,20.65671641791045,3.205714285714285
2018-02-06,0.5527027027027027,20.28904847396769,32.156193895870736,52.4362657091562,33.7209705372617,62.38861386138614,30.123376623376625,4.18608695652174
2018-02-07,0.4851923076923077,21.166979362101312,28.01313320825516,49.187617260788,32.670138888888886,62.854922279792746,28.39423076923077,3.79616724738676
